Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Achham,District,Achāma,अछाम जिल्ला,"231,285","257,477","228,852"
Bannigadhi Jaygadh,Rural Municipality,Bānnigaḍhī Jayagaḍha,बान्निगढी जयगढ गाउँपालिका,"17,102","17,426","13,519"
Chaurpati,Rural Municipality,Caurapāṭī,चौरपाटी गाउँपालिका,"23,323","25,215","21,681"
Dhakari,Rural Municipality,Ḍhakārī,ढकारी गाउँपालिका,...,"21,570","21,998"
Kamalbazar,Municipality,Kamalabajāra,कमलबजार नगरपालिका,...,"23,770","21,032"
Khaptad National Park,National Park,Khaptaḍa Rāṣṭriya Nikuñja,खप्तड राष्ट्रिय निकुञ्ज,0,0,0
Mangalsen,Municipality,Maṅgalasēna,मंगलसेन नगरपालिका,...,"33,191","26,557"
Mellekh,Rural Municipality,Mēllēkha,मेल्लेख गाउँपालिका,"21,219","24,728","22,785"
Panchadewal Binayak,Municipality,Pañcadēvala Vināyaka,पञ्चदेवल विनायक नगरपालिका,...,"27,495","26,088"
Ramaroshan,Rural Municipality,Rāmārōśana,रामारोशन गाउँपालिका,"20,749","25,172","23,600"
Sanphebagar,Municipality,Sā̃phēbagara,साँफेबगर नगरपालिका,...,"34,128","25,891"
Turmakhad,Rural Municipality,Turmākhā̃da,तुर्माखाँद गाउँपालिका,"21,520","24,782","24,574"
Arghakhanchi,District,Arghākhā̃cī,अर्घाखाँची जिल्ला,"208,391","197,632","177,086"
Bhumikasthan,Municipality,Bhūmikāsthāna,भूमिकास्थान नगरपालिका,"35,250","32,640","28,192"
Chhatradev,Rural Municipality,Chatradēva,छत्रदेव गाउँपालिका,...,"25,343","21,611"
Malarani,Rural Municipality,Mālārānī,मालारानी गाउँपालिका,...,"28,044","24,150"
Panini,Rural Municipality,Pāṇinī,पाणिनी गाउँपालिका,...,"26,432","22,291"
Sandhikharka,Municipality,Sandhikharka,सन्धिखर्क नगरपालिका,...,"41,772","42,492"
Shitaganga,Municipality,Śitagaṅgā,शितगंगा नगरपालिका,"44,679","43,401","37,691"
Baglung,District,Bāgaluṅa,बागलुङ जिल्ला,"268,937","268,613","249,211"
Badigad,Rural Municipality,Vaḍigāḍa,वडिगाड गाउँपालिका,"29,618","30,906","28,839"
Baglung,Municipality,Bāgaluṅa,बागलुङ नगरपालिका,...,"59,192","56,102"
Bareng,Rural Municipality,Varēṅa,वरेङ गाउँपालिका,"16,678","14,511","11,158"
Dhorpatan,Municipality,Ḍhōrapāṭana,ढोरपाटन नगरपालिका,...,"26,438","30,068"
